#	23935
我	7846
的	6844
听	3443
想	3318
歌	3003
小	2769
要	2546
看	2544
一	2324
放	2202
你	1672
播	1655
曲	1588
电	1502
大	1442
特	1155
爱	1138
视	1100
之	1089
乐	1056
人	1045
唱	1012
首	1001
剧	942
第	886
奥	868
音	855
曼	828
猪	826
子	757
儿	740
奇	729
爸	728
不	683
宝	677
生	666
天	657
队	657
影	640
头	609
是	608
好	597
王	593
请	569
三	568
和	564
花	549
个	534
汪	532
有	529
来	524
年	519
情	515
中	510
战	509
龙	498
女	498
集	489
二	488
英	487
给	486
版	483
动	482
新	476
了	470
神	460
侠	460
国	451
海	449
记	429
飞	429
梦	427
妈	425
熊	416
下	408
魔	408
心	408
最	396
世	392
超	387
在	385
十	380
开	372
季	372
啦	372
猫	371
雄	369
上	368
康	360
巴	357
主	354
羊	354
传	352
没	348
美	343
里	339
演	337
佩	337
山	336
片	332
红	331
老	330
家	322
们	309
帮	304
打	301
少	301
罗	301
出	299
星	293
喜	292
画	276
这	273
丽	263
险	262
月	262
时	256
拉	256
搜	254
光	253
与	247
风	244
仙	244
找	243
级	243
士	239
马	239
火	237
春	236
太	236
迪	234
白	234
2	228
文	227
刘	226
界	224
亲	224
金	219
西	218
探	218
1	217
会	217
日	214
行	212
张	212
公	211
斯	211
者	211
起	211
索	210
那	210
手	206
学	205
说	202
原	202
高	200
狼	198
江	197
娘	195
杰	195
华	192
长	191
欢	191
流	187
么	187
可	186
明	186
河	184
迦	183
过	182
斗	182
游	181
哈	181
车	180
克	179
事	177
连	177
菲	176
四	176
就	172
黑	171
刚	170
为	170
功	170
后	169
部	169
真	169
0	168
对	168
吧	168
贝	168
续	168
娃	166
舞	165
弟	163
灵	163
林	162
到	161
德	161
鱼	161
再	160
雪	159
迷	159
点	158
相	157
笑	157
工	157
兄	157
话	157
都	157
道	156
安	154
去	153
城	153
地	152
水	151
全	151
千	150
夜	149
平	149
酒	149
陈	149
着	148
五	148
赛	148
铁	148
a	147
云	146
快	146
阿	145
草	145
果	145
东	144
比	144
鬼	144
只	144
物	144
李	143
精	143
黄	143
多	142
阳	141
雨	141
代	141
走	140
叫	139
八	138
9	137
见	137
恐	137
自	136
知	136
友	136
球	135
路	133
场	132
面	131
兔	131
前	131
邓	131
q	130
青	130
南	130
哥	130
幻	130
语	129
d	127
空	127
名	127
还	126
